subject,descr,acad_groups,acad_orgs,careers,campuses
NESC,NESC - Neuroscience,"['CGAS', 'MDS']",['NESC'],"['GRAD', 'UGRD']",['MAIN']
NUCO,NUCO - Nursing Core,['NURS'],['NURSD'],['UGRD'],['MAIN']
NUIP,NUIP - Nursing Interprofessional,['NURS'],['NURSD'],['UGRD'],['MAIN']
NURS,NURS - Nursing,['NURS'],['NURSD'],['UGRD'],['MAIN']
PATH,PATH - Pathology,['MDS'],['PATH'],['GRAD'],['MAIN']
PC,PC - Procurement and Contracts Management,['SCPS'],['SCPSD'],['GRAD'],['SCPS']
PERS,PERS - Persian,['CGAS'],['MESA'],['UGRD'],['MAIN']
PETR,PETR - Persian in Translation,['CGAS'],['MESA'],"['GRAD', 'UGRD']",['MAIN']
PHAR,PHAR - Pharmacology,"['CGAS', 'MDS']",['PHAR'],['GRAD'],['MAIN']
PHIL,PHIL - Philosophy,['CGAS'],['PHIL'],"['GRAD', 'UGRD']",['MAIN']
PHS,PHS - Public Health Sciences,"['CGAS', 'MDS']",['PHS'],"['GRAD', 'UGRD']",['MAIN']
PHY,PHY - Physiology,['MDS'],['PHY'],['GRAD'],['MAIN']
PHYS,PHYS - Physics,['CGAS'],['PHYS'],"['GRAD', 'UGRD']",['MAIN']
PLAC,PLAC - Planning Application,['ARCH'],['PLAN'],"['GRAD', 'UGRD']",['MAIN']
PLAD,PLAD - Politics-Departmental Seminar,['CGAS'],['POLT'],"['GRAD', 'UGRD']",['MAIN']
PLAN,PLAN - Urban and Environmental Planning,['ARCH'],['PLAN'],"['GRAD', 'UGRD']",['MAIN']
PLAP,PLAP - Politics-American Politics,['CGAS'],['POLT'],"['GRAD', 'UGRD']",['MAIN']
PLCP,PLCP - Politics-Comparative Politics,['CGAS'],['POLT'],"['GRAD', 'UGRD']",['MAIN']
PLIR,PLIR - Politics-International Relations,['CGAS'],['POLT'],"['GRAD', 'UGRD']",['MAIN']
